id,route,methods,file,loc,auth_requirement,role_required,rls_reliance,personalized,input_validation,test_present,dead_or_duplicate,cache_policy_today,cache_policy_target,uses_cookie_client,uses_service_client,calls_verify_admin,calls_get_user,calls_get_session,calls_check_ban,inline_role_check,references_club_members,parses_body,has_zod,sets_cache_control,cache_control_values,env_vars_referenced,has_try_catch,catch_any_count,console_count,as_any_count,tables_referenced,no_auth_signal
api.admin.featured.id,/api/admin/featured/[id],PATCH;DELETE,src/app/api/admin/featured/[id]/route.ts,111,admin,"admin (src/lib/admin.ts verifyAdmin() → users.roles includes ""admin"")",partial,false,manual,false,false,"s-maxage=60, stale-while-revalidate=300",no-store,false,false,true,false,false,false,false,false,true,false,false,,,true,0,2,2,featured_events,false
api.admin.featured,/api/admin/featured,GET;POST,src/app/api/admin/featured/route.ts,105,admin,"admin (src/lib/admin.ts verifyAdmin() → users.roles includes ""admin"")",partial,false,manual,false,false,"s-maxage=60, stale-while-revalidate=300","private, no-store",false,false,true,false,false,false,false,false,true,false,false,,,true,0,1,2,featured_events,false
api.admin.organizer-requests.id,/api/admin/organizer-requests/[id],PATCH,src/app/api/admin/organizer-requests/[id]/route.ts,130,admin,"admin (src/lib/admin.ts verifyAdmin() → users.roles includes ""admin"")",bypassed,false,manual,false,false,"s-maxage=60, stale-while-revalidate=300",no-store,false,true,true,false,false,false,false,true,true,false,false,,,true,0,2,0,organizer_requests;users;club_members;clubs;notifications,false
api.admin.organizer-requests,/api/admin/organizer-requests,GET,src/app/api/admin/organizer-requests/route.ts,37,admin,"admin (src/lib/admin.ts verifyAdmin() → users.roles includes ""admin"")",partial,false,none,false,false,"s-maxage=60, stale-while-revalidate=300","private, no-store",false,false,true,false,false,false,false,false,false,false,false,,,false,0,0,0,organizer_requests,false
api.admin.organizers,/api/admin/organizers,GET,src/app/api/admin/organizers/route.ts,104,admin,"admin (src/lib/admin.ts verifyAdmin() → users.roles includes ""admin"")",bypassed,false,none,false,false,"s-maxage=60, stale-while-revalidate=300","private, no-store",false,true,true,false,false,false,false,true,false,false,false,,,false,0,0,0,users;club_members;events,false
api.admin.reports.id,/api/admin/reports/[id],PATCH,src/app/api/admin/reports/[id]/route.ts,71,admin,"admin (src/lib/admin.ts verifyAdmin() → users.roles includes ""admin"")",bypassed,false,manual,false,false,"s-maxage=60, stale-while-revalidate=300",no-store,false,true,true,false,false,false,false,false,true,false,false,,,true,0,1,0,event_reports,false
api.admin.reports,/api/admin/reports,GET,src/app/api/admin/reports/route.ts,72,admin,"admin (src/lib/admin.ts verifyAdmin() → users.roles includes ""admin"")",bypassed,false,none,false,false,"s-maxage=60, stale-while-revalidate=300","private, no-store",false,true,true,false,false,false,false,false,false,false,false,,,false,0,0,0,event_reports,false
api.admin.stats,/api/admin/stats,GET,src/app/api/admin/stats/route.ts,41,admin,"admin (src/lib/admin.ts verifyAdmin() → users.roles includes ""admin"")",partial,false,none,false,false,"s-maxage=60, stale-while-revalidate=300","private, no-store",false,false,true,false,false,false,false,false,false,false,false,,,false,0,0,0,events;users,false
api.admin.users.id.ban,/api/admin/users/[id]/ban,POST;DELETE,src/app/api/admin/users/[id]/ban/route.ts,322,admin,"admin (src/lib/admin.ts verifyAdmin() → users.roles includes ""admin"")",bypassed,false,manual,false,false,"s-maxage=60, stale-while-revalidate=300",no-store,false,true,true,false,false,false,false,false,true,false,false,,,true,0,10,0,users;events;clubs;moderation_reviews;notifications,false
api.admin.users.id,/api/admin/users/[id],PATCH,src/app/api/admin/users/[id]/route.ts,44,admin,"admin (src/lib/admin.ts verifyAdmin() → users.roles includes ""admin"")",partial,false,none,false,false,"s-maxage=60, stale-while-revalidate=300",no-store,false,false,true,false,false,false,false,false,true,false,false,,,false,0,0,0,users,false
api.admin.users,/api/admin/users,GET,src/app/api/admin/users/route.ts,21,admin,"admin (src/lib/admin.ts verifyAdmin() → users.roles includes ""admin"")",partial,false,none,false,false,"s-maxage=60, stale-while-revalidate=300","private, no-store",false,false,true,false,false,false,false,false,false,false,false,,,false,0,0,0,users,false
api.auth-debug,/api/auth-debug,GET,src/app/api/auth-debug/route.ts,58,anonymous,,none,true,none,false,false,"s-maxage=60, stale-while-revalidate=300","private, no-store",false,false,false,true,false,false,false,false,false,false,false,,NEXT_PUBLIC_SUPABASE_URL;NEXT_PUBLIC_SUPABASE_ANON_KEY,true,0,0,0,,false
api.calendar.events,/api/calendar/events,GET,src/app/api/calendar/events/route.ts,95,authenticated,,partial,true,none,false,false,"s-maxage=60, stale-while-revalidate=300","private, no-store",true,false,false,true,false,false,false,false,false,false,false,,,true,0,1,1,saved_events;rsvps;events,false
api.clubs.id.analytics,/api/clubs/[id]/analytics,GET,src/app/api/clubs/[id]/analytics/route.ts,328,authenticated,club membership (club_members lookup on the cookie client),partial,false,none,true,false,"s-maxage=60, stale-while-revalidate=300","private, no-store",true,false,false,true,false,false,false,true,false,false,false,,,true,0,0,0,club_members;club_followers;events;rsvps;event_popularity_scores;saved_events;user_interactions,false
api.clubs.id.appeal,/api/clubs/[id]/appeal,POST,src/app/api/clubs/[id]/appeal/route.ts,115,authenticated,"club owner (club_members.role === ""owner"")",bypassed,false,manual,false,false,"s-maxage=60, stale-while-revalidate=300",no-store,true,true,false,true,false,true,false,false,true,false,false,,,true,0,1,0,clubs;moderation_reviews;users;notifications,false
api.clubs.id.events,/api/clubs/[id]/events,GET,src/app/api/clubs/[id]/events/route.ts,108,anonymous,,partial,true,none,false,false,"s-maxage=60, stale-while-revalidate=300","private, no-store",true,false,false,true,false,false,false,true,false,false,false,,,true,0,0,0,club_members;events;rsvps,false
api.clubs.id.follow,/api/clubs/[id]/follow,GET;POST;DELETE,src/app/api/clubs/[id]/follow/route.ts,114,authenticated,,partial,true,none,false,false,"s-maxage=60, stale-while-revalidate=300","private, no-store",true,false,false,true,false,false,false,false,false,false,false,,,true,0,0,0,club_followers,false
api.clubs.id.invites,/api/clubs/[id]/invites,GET;POST,src/app/api/clubs/[id]/invites/route.ts,182,authenticated,club membership (club_members lookup on the cookie client),partial,false,manual,false,false,"s-maxage=60, stale-while-revalidate=300","private, no-store",true,false,false,true,false,false,false,true,true,false,false,,,true,0,0,0,club_members;club_invitations;users,false
api.clubs.id.members.role,/api/clubs/[id]/members/role,PATCH,src/app/api/clubs/[id]/members/role/route.ts,67,authenticated,"club owner (club_members.role === ""owner"")",partial,false,manual,false,false,"s-maxage=60, stale-while-revalidate=300",no-store,true,false,false,true,false,false,false,true,true,false,false,,,false,0,0,0,club_members,false
api.clubs.id.members,/api/clubs/[id]/members,GET;DELETE,src/app/api/clubs/[id]/members/route.ts,173,authenticated,club membership (club_members lookup on the cookie client),partial,false,manual,false,false,"s-maxage=60, stale-while-revalidate=300","private, no-store",true,false,false,true,false,false,false,true,true,false,false,,,true,0,0,0,club_members;users,false
api.clubs.id,/api/clubs/[id],GET;PATCH;DELETE,src/app/api/clubs/[id]/route.ts,214,anonymous,,bypassed,false,manual,false,false,"s-maxage=60, stale-while-revalidate=300","public, s-maxage=60, stale-while-revalidate=300",true,true,false,true,false,false,false,true,true,false,false,,,true,0,0,0,clubs;club_followers;club_members;admin_audit_log,false
api.clubs.id.transfer,/api/clubs/[id]/transfer,POST,src/app/api/clubs/[id]/transfer/route.ts,86,authenticated,"club owner (club_members.role === ""owner"")",bypassed,false,manual,false,false,"s-maxage=60, stale-while-revalidate=300",no-store,true,true,false,true,false,false,false,true,true,false,false,,,false,0,0,0,club_members;admin_audit_log,false
api.clubs.banner,/api/clubs/banner,POST,src/app/api/clubs/banner/route.ts,90,authenticated,club membership (club_members lookup on the cookie client),partial,false,none,false,false,"s-maxage=60, stale-while-revalidate=300",no-store,true,false,false,true,false,false,false,true,false,false,false,,,true,0,0,0,club_members,false
api.clubs.featured,/api/clubs/featured,GET,src/app/api/clubs/featured/route.ts,39,anonymous,,primary,false,none,false,false,"public, s-maxage=60, stale-while-revalidate=120","public, s-maxage=60, stale-while-revalidate=300",true,false,false,false,false,false,false,false,false,false,true,"public, s-maxage=60, stale-while-revalidate=120",,true,0,0,1,featured_clubs,true
api.clubs.friends,/api/clubs/friends,GET,src/app/api/clubs/friends/route.ts,99,authenticated,,partial,true,none,false,false,"s-maxage=60, stale-while-revalidate=300","private, no-store",true,false,false,true,false,false,false,false,false,false,false,,,true,0,0,1,club_followers;clubs;events,false
api.clubs.logo,/api/clubs/logo,POST,src/app/api/clubs/logo/route.ts,90,authenticated,club membership (club_members lookup on the cookie client),partial,false,none,false,false,"s-maxage=60, stale-while-revalidate=300",no-store,true,false,false,true,false,false,false,true,false,false,false,,,true,0,0,0,club_members,false
api.clubs.new,/api/clubs/new,GET,src/app/api/clubs/new/route.ts,59,anonymous,,primary,false,none,false,false,"s-maxage=60, stale-while-revalidate=300","public, s-maxage=60, stale-while-revalidate=300",true,false,false,false,false,false,false,false,false,false,false,,,true,0,0,0,clubs;club_followers;events,true
api.clubs,/api/clubs,GET;POST,src/app/api/clubs/route.ts,154,anonymous,,bypassed,false,manual,false,false,"s-maxage=60, stale-while-revalidate=300","public, s-maxage=60, stale-while-revalidate=300",true,true,false,true,false,true,false,true,true,false,false,,,true,0,0,0,clubs;club_members;users,false
api.clubs.trending,/api/clubs/trending,GET,src/app/api/clubs/trending/route.ts,82,anonymous,,primary,false,none,false,false,"s-maxage=60, stale-while-revalidate=300","public, s-maxage=60, stale-while-revalidate=300",true,false,false,false,false,false,false,false,false,false,false,,,true,0,0,0,clubs;club_followers;events,true
api.cron.send-feedback-requests,/api/cron/send-feedback-requests,POST,src/app/api/cron/send-feedback-requests/route.ts,110,machine,"machine secret CRON_SECRET, guarded by a presence check that 500s first",bypassed,false,none,false,true,"s-maxage=60, stale-while-revalidate=300",no-store,false,true,false,false,false,false,false,false,false,false,false,,CRON_SECRET,true,0,1,0,events;rsvps;feedback_request_log;notifications,true
api.cron.send-reminders,/api/cron/send-reminders,POST,src/app/api/cron/send-reminders/route.ts,165,machine,machine secret CRON_SECRET (Authorization: Bearer ${CRON_SECRET}),bypassed,false,none,false,true,"s-maxage=60, stale-while-revalidate=300",no-store,false,true,false,false,false,false,false,false,false,false,false,,CRON_SECRET,true,0,1,0,events;saved_events;email_reminder_log;notifications,true
api.events.id.analytics,/api/events/[id]/analytics,GET,src/app/api/events/[id]/analytics/route.ts,114,authenticated,club membership (club_members lookup on the cookie client),partial,false,none,true,false,"s-maxage=60, stale-while-revalidate=300","private, no-store",true,false,false,true,false,false,false,true,false,false,false,,,true,0,0,0,events;club_members;event_popularity_scores;rsvps;saved_events,false
api.events.id.appeal,/api/events/[id]/appeal,POST,src/app/api/events/[id]/appeal/route.ts,121,authenticated,club membership (club_members lookup on the cookie client),bypassed,false,manual,false,false,"s-maxage=60, stale-while-revalidate=300",no-store,true,true,false,true,false,true,false,false,true,false,false,,,true,0,1,0,events;moderation_reviews;users;notifications,false
api.events.id.friends,/api/events/[id]/friends,GET,src/app/api/events/[id]/friends/route.ts,76,authenticated,,partial,true,none,false,false,"s-maxage=60, stale-while-revalidate=300","private, no-store",true,false,false,true,false,false,false,false,false,false,false,,,true,0,0,4,saved_events;user_follows,false
api.events.id.invite,/api/events/[id]/invite,POST,src/app/api/events/[id]/invite/route.ts,94,authenticated,,partial,false,manual,false,false,"s-maxage=60, stale-while-revalidate=300",no-store,true,false,false,true,false,true,false,false,true,false,false,,,true,0,0,4,events;users;event_invites;notifications,false
api.events.id.report,/api/events/[id]/report,POST,src/app/api/events/[id]/report/route.ts,72,authenticated,,partial,false,manual,false,false,"s-maxage=60, stale-while-revalidate=300",no-store,true,false,false,true,false,false,false,false,true,false,false,,,false,0,0,0,events;event_reports,false
api.events.id.reviews,/api/events/[id]/reviews,POST;GET,src/app/api/events/[id]/reviews/route.ts,228,authenticated,,partial,true,manual,true,false,"s-maxage=60, stale-while-revalidate=300","private, no-store",true,false,false,true,false,false,false,true,true,false,false,,,true,0,0,0,events;rsvps;reviews;club_members,false
api.events.id,/api/events/[id],GET;PATCH;DELETE,src/app/api/events/[id]/route.ts,415,anonymous,,partial,false,manual,false,false,"s-maxage=60, stale-while-revalidate=300","public, s-maxage=60, stale-while-revalidate=300",true,false,false,true,false,false,true,true,true,false,false,,,true,0,5,0,events;users;club_members,false
api.events.id.rsvp,/api/events/[id]/rsvp,GET;POST;DELETE,src/app/api/events/[id]/rsvp/route.ts,449,anonymous,,partial,true,manual,true,false,"s-maxage=60, stale-while-revalidate=300","private, no-store",true,false,false,true,false,true,false,false,true,false,false,,,true,0,13,0,events;rsvps,false
api.events.id.save,/api/events/[id]/save,DELETE;POST,src/app/api/events/[id]/save/route.ts,132,authenticated,,partial,true,none,false,false,"s-maxage=60, stale-while-revalidate=300","private, no-store",true,false,false,true,false,true,false,false,false,false,false,,,true,0,7,0,saved_events;events,false
api.events.create,/api/events/create,POST,src/app/api/events/create/route.ts,249,authenticated,club membership (club_members lookup on the cookie client),partial,false,manual,false,false,"s-maxage=60, stale-while-revalidate=300",no-store,true,false,false,true,false,true,true,true,true,false,false,,,true,0,3,0,users;events;clubs;club_members;club_followers;notifications,false
api.events.export,/api/events/export,GET,src/app/api/events/export/route.ts,295,anonymous,,primary,false,none,true,false,"s-maxage=60, stale-while-revalidate=300","public, s-maxage=60, stale-while-revalidate=300",true,false,false,false,false,false,false,false,false,false,false,,,true,0,2,0,events,true
api.events.featured,/api/events/featured,GET,src/app/api/events/featured/route.ts,40,anonymous,,primary,false,none,false,false,"public, s-maxage=60, stale-while-revalidate=120","public, s-maxage=60, stale-while-revalidate=300",true,false,false,false,false,false,false,false,false,false,true,"public, s-maxage=60, stale-while-revalidate=120",,true,0,0,1,featured_events,true
api.events.following,/api/events/following,GET,src/app/api/events/following/route.ts,62,authenticated,,partial,true,none,false,false,"s-maxage=60, stale-while-revalidate=300","private, no-store",true,false,false,true,false,false,false,false,false,false,false,,,true,0,2,0,club_followers;events,false
api.events.friends-activity,/api/events/friends-activity,GET,src/app/api/events/friends-activity/route.ts,81,authenticated,,partial,true,none,false,false,"s-maxage=60, stale-while-revalidate=300","private, no-store",true,false,false,true,false,false,false,false,false,false,false,,,true,0,0,2,saved_events,false
api.events.friends-organizing,/api/events/friends-organizing,GET,src/app/api/events/friends-organizing/route.ts,64,authenticated,,partial,true,none,false,false,"s-maxage=60, stale-while-revalidate=300","private, no-store",true,false,false,true,false,false,false,false,false,false,false,,,true,0,0,1,events,false
api.events.happening-now,/api/events/happening-now,GET,src/app/api/events/happening-now/route.ts,59,anonymous,,primary,false,none,false,false,"s-maxage=60, stale-while-revalidate=300","public, s-maxage=60, stale-while-revalidate=300",true,false,false,false,false,false,false,false,false,false,false,,,true,0,2,0,events,true
api.events.my-events,/api/events/my-events,GET,src/app/api/events/my-events/route.ts,29,authenticated,,partial,true,none,false,false,"s-maxage=60, stale-while-revalidate=300","private, no-store",true,false,false,true,false,false,false,false,false,false,false,,,false,0,0,0,events,false
api.events.new,/api/events/new,GET,src/app/api/events/new/route.ts,36,anonymous,,primary,false,none,false,false,"s-maxage=60, stale-while-revalidate=300","public, s-maxage=60, stale-while-revalidate=300",true,false,false,false,false,false,false,false,false,false,false,,,true,0,0,0,events,true
api.events.popular,/api/events/popular,GET,src/app/api/events/popular/route.ts,169,anonymous,,primary,false,none,false,false,"s-maxage=60, stale-while-revalidate=300","public, s-maxage=60, stale-while-revalidate=300",true,false,false,false,false,false,false,false,false,false,false,,,true,0,2,1,events,true
api.events,/api/events,GET,src/app/api/events/route.ts,343,anonymous,,primary,false,none,true,false,"public, s-maxage=30, stale-while-revalidate=60","public, s-maxage=60, stale-while-revalidate=300",true,false,false,false,false,false,false,false,false,false,true,"public, s-maxage=30, stale-while-revalidate=60",,true,0,3,2,events,true
api.events.upload-image,/api/events/upload-image,POST,src/app/api/events/upload-image/route.ts,72,authenticated,,none,false,none,false,false,"s-maxage=60, stale-while-revalidate=300",no-store,true,false,false,true,false,false,false,false,false,false,false,,,true,0,2,0,,false
api.feedback,/api/feedback,POST,src/app/api/feedback/route.ts,55,anonymous,,partial,false,manual,false,false,"s-maxage=60, stale-while-revalidate=300",no-store,true,false,false,true,false,false,false,false,true,false,false,,,true,0,2,0,feedback,false
api.health,/api/health,GET,src/app/api/health/route.ts,390,anonymous,,none,false,none,false,false,"s-maxage=60, stale-while-revalidate=300","public, s-maxage=60, stale-while-revalidate=300",true,false,false,false,true,false,false,false,false,false,false,,NEXT_PUBLIC_SUPABASE_URL,true,5,0,0,,false
api.interactions,/api/interactions,POST,src/app/api/interactions/route.ts,156,anonymous,,partial,false,manual,false,false,"s-maxage=60, stale-while-revalidate=300",no-store,true,false,false,true,false,false,false,false,true,false,false,,,true,0,3,0,events;user_interactions,false
api.moderation.reviews.targetType.targetId,/api/moderation/reviews/[targetType]/[targetId],GET,src/app/api/moderation/reviews/[targetType]/[targetId]/route.ts,81,authenticated,"inline roles check on the service client (users.roles includes ""admin""), not verifyAdmin()",bypassed,false,none,false,false,"s-maxage=60, stale-while-revalidate=300","private, no-store",true,true,false,true,false,false,false,false,false,false,false,,,false,0,0,0,users;moderation_reviews,false
api.my-clubs,/api/my-clubs,GET,src/app/api/my-clubs/route.ts,92,authenticated,club membership (club_members lookup on the cookie client),partial,true,none,false,false,"s-maxage=60, stale-while-revalidate=300","private, no-store",true,false,false,true,false,false,false,true,false,false,false,,,true,0,0,0,club_members;clubs;club_followers;events,false
api.notifications.id,/api/notifications/[id],PATCH,src/app/api/notifications/[id]/route.ts,43,authenticated,,partial,false,none,false,false,"s-maxage=60, stale-while-revalidate=300",no-store,true,false,false,true,false,false,false,false,false,false,false,,,true,0,1,0,notifications,false
api.notifications.count,/api/notifications/count,GET,src/app/api/notifications/count/route.ts,30,anonymous,,partial,true,none,false,false,"s-maxage=60, stale-while-revalidate=300","private, no-store",true,false,false,true,false,false,false,false,false,false,false,,,true,0,0,0,notifications,false
api.notifications,/api/notifications,GET;POST,src/app/api/notifications/route.ts,109,authenticated,,partial,true,none,false,false,"s-maxage=60, stale-while-revalidate=300","private, no-store",true,false,false,true,false,false,false,false,false,false,false,,,true,0,2,0,notifications,false
api.onboarding.complete,/api/onboarding/complete,POST,src/app/api/onboarding/complete/route.ts,26,authenticated,,none,false,none,false,false,"s-maxage=60, stale-while-revalidate=300",no-store,true,false,false,true,false,false,false,false,false,false,false,,,false,0,0,0,,false
api.organizer-requests,/api/organizer-requests,POST;GET,src/app/api/organizer-requests/route.ts,86,authenticated,,partial,true,manual,false,false,"s-maxage=60, stale-while-revalidate=300","private, no-store",true,false,false,true,false,false,false,false,true,false,false,,,false,0,0,0,clubs;organizer_requests,false
api.profile.avatar,/api/profile/avatar,POST,src/app/api/profile/avatar/route.ts,114,authenticated,,bypassed,false,none,false,false,"s-maxage=60, stale-while-revalidate=300",no-store,true,true,false,true,false,false,false,false,false,false,false,,,true,0,3,0,avatars;users,false
api.profile.banner,/api/profile/banner,POST,src/app/api/profile/banner/route.ts,102,authenticated,,bypassed,false,none,false,false,"s-maxage=60, stale-while-revalidate=300",no-store,true,true,false,true,false,false,false,false,false,false,false,,,true,0,3,0,banners;users,false
api.profile.inferred-tags,/api/profile/inferred-tags,DELETE,src/app/api/profile/inferred-tags/route.ts,63,authenticated,,partial,false,manual,false,false,"s-maxage=60, stale-while-revalidate=300",no-store,true,false,false,true,false,false,false,false,true,false,false,,,true,0,2,2,users,false
api.profile.interests,/api/profile/interests,PUT,src/app/api/profile/interests/route.ts,83,authenticated,,partial,false,manual,false,false,"s-maxage=60, stale-while-revalidate=300",no-store,true,false,false,true,false,false,false,false,true,false,false,,,true,0,2,1,users,false
api.recommendations.analytics,/api/recommendations/analytics,GET,src/app/api/recommendations/analytics/route.ts,124,admin,"admin (src/lib/admin.ts verifyAdmin() → users.roles includes ""admin"")",partial,false,none,false,false,"s-maxage=60, stale-while-revalidate=300","private, no-store",false,false,true,false,false,false,false,false,false,false,false,,,true,0,2,0,recommendation_feedback;events,false
api.recommendations.batch,/api/recommendations/batch,POST,src/app/api/recommendations/batch/route.ts,38,admin,"admin (src/lib/admin.ts verifyAdmin() → users.roles includes ""admin"")",bypassed,false,none,false,false,"s-maxage=60, stale-while-revalidate=300",no-store,false,true,true,false,false,false,false,false,false,false,false,,,true,0,2,0,,false
api.recommendations.feedback,/api/recommendations/feedback,GET;POST,src/app/api/recommendations/feedback/route.ts,206,authenticated,,partial,true,manual,false,false,"s-maxage=60, stale-while-revalidate=300","private, no-store",true,false,false,true,false,true,false,false,true,false,false,,,true,0,4,1,recommendation_explicit_feedback;recommendation_feedback,false
api.recommendations,/api/recommendations,GET,src/app/api/recommendations/route.ts,322,anonymous,,partial,true,none,false,false,"private, no-store","private, no-store",true,false,false,true,false,false,false,false,false,false,true,"private, no-store;private, no-store;private, no-store",,true,0,1,6,events;users;user_event_scores;user_interactions;experiments;experiment_variants;experiment_assignments,false
api.user.engagement,/api/user/engagement,GET;POST,src/app/api/user/engagement/route.ts,184,authenticated,,partial,true,none,false,false,"s-maxage=60, stale-while-revalidate=300","private, no-store",true,false,false,true,false,true,false,false,false,false,false,,,true,0,7,0,user_engagement_summary,false
api.user.following,/api/user/following,GET,src/app/api/user/following/route.ts,57,authenticated,,partial,true,none,false,false,"s-maxage=60, stale-while-revalidate=300","private, no-store",true,false,false,true,false,false,false,false,false,false,false,,,true,0,2,0,club_followers,false
api.users.id.follow,/api/users/[id]/follow,POST;DELETE,src/app/api/users/[id]/follow/route.ts,130,authenticated,,partial,false,none,false,false,"s-maxage=60, stale-while-revalidate=300",no-store,true,false,false,true,false,true,false,false,false,false,false,,,true,0,0,5,user_follows;users;notifications,false
api.users.id,/api/users/[id],PATCH,src/app/api/users/[id]/route.ts,215,authenticated,self only — the handler asserts the path id equals the session user id,bypassed,false,manual,false,false,"s-maxage=60, stale-while-revalidate=300",no-store,true,true,false,true,false,false,false,false,true,false,false,,,true,0,2,0,users,false
api.users.me.friends,/api/users/me/friends,GET,src/app/api/users/me/friends/route.ts,31,authenticated,,partial,true,none,false,false,"s-maxage=60, stale-while-revalidate=300","private, no-store",true,false,false,true,false,false,false,false,false,false,false,,,true,0,0,1,,false
api.users.me.requests,/api/users/me/requests,GET,src/app/api/users/me/requests/route.ts,66,authenticated,,partial,true,none,false,false,"s-maxage=60, stale-while-revalidate=300","private, no-store",true,false,false,true,false,false,false,false,false,false,false,,,true,0,0,3,user_follows;users,false
api.users.me.suggestions,/api/users/me/suggestions,GET,src/app/api/users/me/suggestions/route.ts,254,authenticated,,bypassed,true,none,false,false,"s-maxage=60, stale-while-revalidate=300","private, no-store",true,true,false,true,false,false,false,true,false,false,false,,,true,0,0,0,users;user_follows;club_members;club_followers;rsvps,false
